Player,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
A.J. Price,PG,12.40%,-,-,6' 0.5'',6' 2'',8' 1'',192.8,6' 3.75''
Aaron Brooks,PG,2.70%,-,-,5' 10'',5' 11.75'',7' 10'',161.0,6' 4''
Aaron Craft,PG,6.10%,7.75,8.50,6' 0.75'',6' 1.75'',7' 10.5'',191.6,6' 2''
Aaron Gordon,PF,5.05%,8.75,10.50,6' 7.5'',6' 8.75'',8' 9'',220.1,6' 11.75''
Aaron Gray,C,10.80%,-,-,7' 0'',7' 1.75'',9' 0.5'',271.0,7' 3.25''
Aaron Harrison,SG,6.00%,8.75,10.00,6' 4.5'',6' 6'',8' 4.5'',209.2,6' 8.25''
Aaron Holiday,PG,6.40%,8.75,8.50,5' 11.75'',6' 0.75'',8' 1'',187.0,6' 7.5''
Aaron Miles,PG,-%,-,-,6' 0'',6' 1.5'',7' 10'',174.6,6' 3.5''
Acie Law,PG,5.60%,-,-,6' 2'',6' 3.5'',8' 2'',186.0,6' 6.5''
Adam Morrison,SF,6.80%,-,-,6' 6.5'',6' 7.75'',8' 9'',198.0,6' 10''
Admiral Schofield,SF,6.80%,8.75,9.00,6' 4'',6' 5.25'',8' 6.5'',240.6,6' 9.75''
Adonis Thomas,SF,7.50%,9.25,9.50,6' 4.75'',6' 5.75'',8' 3'',231.8,7' 1''
Adreian Payne,PF,7.55%,9.25,9.50,6' 9'',6' 9.75'',9' 1'',238.5,7' 4''
Aerick Sanders,PF,6.70%,-,-,6' 6.5'',6' 7.5'',8' 10'',205.0,6' 11.5''
Al Horford,PF,9.10%,-,-,6' 8'',6' 9.75'',8' 11'',246.0,7' 0.75''
Al Jefferson,PF-SF,10.50%,-,-,6' 8.5'',6' 9.75'',9' 2'',263.0,7' 2.5''
Al Thornton,SF,5.80%,-,-,6' 5.75'',6' 7'',8' 8'',221.0,7' 1''
Al-Farouq Aminu,SF,8.20%,9.50,9.50,6' 7.25'',6' 8.5'',9' 0.5'',216.0,7' 3.25''
Alan Anderson,SG-SF,-%,-,-,6' 4.5'',6' 6'',8' 8'',223.2,6' 9.5''
Alan Williams,PF,12.00%,8.50,9.50,6' 7.25'',6' 8.25'',8' 10.5'',261.4,7' 1.75''
Alec Brown,PF,7.70%,9.25,8.75,7' 0.25'',7' 1.25'',9' 1'',231.2,7' 1.5''
Alec Burks,SG,5.10%,9.00,8.25,6' 5'',6' 6'',8' 7.5'',192.6,6' 10''
Alec Peters,PF,8.80%,8.75,10.00,6' 7.25'',6' 8.75'',8' 9'',232.0,6' 10.75''
Aleks Maric,C,10.10%,-,-,6' 9.75'',6' 10.75'',9' 1.5'',273.0,7' 1''
Aleksandar Capin,PG,9.30%,-,-,6' 0'',6' 1.25'',7' 10'',176.0,6' 1.5''
Ales Chan,C,14.80%,-,-,7' 0'',7' 2'',9' 5'',255.0,7' 3''
Alex Acker,SG,-%,-,-,6' 3.75'',6' 4.75'',8' 6.5'',183.0,7' 0''
Alex Kirk,PF,13.60%,9.25,10.50,6' 9.25'',6' 10.75'',9' 1.5'',252.0,7' 3.5''
Alex Len,C,6.40%,9.00,10.75,-,7' 3.5''
Ali Traore,C-PF,12.10%,-,-,6' 8.75'',6' 9.75'',9' 0.5'',249.0,7' 4''
Alize Johnson,PF,8.10%,8.50,9.75,6' 7.25'',6' 8'',8' 7'',216.6,6' 8.75''
Allan Ray,SG,9.80%,-,-,6' 1'',6' 2.25'',8' 3.5'',204.0,6' 8.5''
Allen Crabbe,SG,4.65%,8.25,8.50,6' 5.25'',6' 6.25'',8' 7.5'',197.4,6' 11.25''
Allonzo Trier,SG,4.95%,8.25,10.50,6' 3.75'',6' 5.25'',8' 2'',198.0,6' 6.75''
Andre Barrett,PG,6.70%,-,-,5' 8.75'',5' 9.75'',7' 8'',171.0,6' 1''
Andre Brown,PF-C,6.00%,-,-,6' 8'',6' 9.5'',8' 11'',236.0,6' 11''
Andre Drummond,C,7.50%,9.50,9.50,6' 9.75'',6' 11.75'',9' 1.5'',278.6,7' 6.25''
Andre Emmett,SG-SF,6.70%,-,-,6' 3.5'',6' 4.5'',8' 4'',216.0,6' 9''
Andre Iguodala,SG-SF,6.70%,-,-,6' 5.75'',6' 6.75'',8' 9.5'',217.0,6' 11''
Andre Roberson,PF-SF,7.05%,8.75,9.50,6' 6.25'',6' 7'',8' 8.5'',205.8,6' 11''
Andrew Bogut,C-PF,-%,-,-,6' 11'',7' 0.25'',9' 2.5'',250.6,7' 3''
Andrew Goudelock,PG,9.90%,8.25,9.25,6' 1.25'',6' 2.75'',8' 0.5'',197.6,6' 4.25''
